"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"200uF","desc","C1,","C_0603_1608Metric","libref","2","1","","",
"100nF","desc","C2,C5,","C_0603_1608Metric","libref","2","2","","",
"220uF","desc","C3,","C_0603_1608Metric","libref","2","1","","",
"10nF","desc","C4,C6,","C_0603_1608Metric","libref","2","2","","",
"10K","desc","R1,R2,","R_0603_1608Metric","libref","2","2","","",
"AMS1117-3.3","desc","U1,","SOT-223-3_TabPin2","libref","4","1","","",
"Through Hole Items ",
"USB_A","desc","J1,","USB_A_CNCTech_1001-011-01101_Horizontal","libref","8","1","","",
"slip_switch_MSK-12D19_1P2T","desc","S1,","SlipSwitch_MSK-12D19_1P2T","libref","3","1","","",
"ESP-12F","desc","U2,","ESP-12E","libref","22","1","","",
